solID,mape,decomp.rssd,nrmse,AA,AI,AS,LA,LI,RA,RI,SA,SI,TT,BA,BI,UN,cluster,top_sol
1_160_10,0,0.232264277064199,0.0750056071774876,0.0230780747158241,0.371729313749895,0.183526214460185,0,0.0145177333194535,0,0.821468672778915,0.213980781896479,0.337337357832337,0.372333221925451,0,0,0,7,FALSE
1_169_10,0,0.230392813330793,0.0750478229098603,0.0236198188231334,0.371270485213858,0.141374050823698,0,0.0172158447997617,0,0.827046765021759,0.231257776963813,0.339667768163977,0.367634548580447,0,0,0,7,FALSE
1_189_10,0,0.206805598867051,0.0769172394974141,0.423378026583272,0.298809620684734,0.250214147104818,0,0.639116155484906,0.999954360169315,0.10227889001513,0,0.620948321837136,0.87626956238987,0,0,0,2,FALSE
1_193_10,0,0.235800097478826,0.0747333156130725,0.0596865571506761,0.534548205227387,0.179793615854405,0,0,0,0.834474925941711,0.242175185861603,0.286857687188446,0.369243010463084,0,0,0,7,FALSE
1_195_10,0,0.205436999385662,0.0769406114354535,0.438799728486421,0.301221194861102,0.197094725400325,0,0.76178672563445,1,0.111052353546877,0,0.616117038974951,0.863538791103906,0,0,0,2,TRUE
1_196_10,0,0.241682202468281,0.0744822516243635,0.0190496694310027,0.55151840124589,0.156377415978996,0,0.0464992402286006,0,0.93126101050272,0.491632966870989,0.509698496720589,0.371226646846021,0,0,0,6,TRUE
1_199_5,0,0.208282210083488,0.0768536314583637,0.529847913429654,0.516169755434365,0.591321912844971,0,0.823638058655425,0,0.722583705562803,0.309334271026852,0.587610068716199,0.603087966359574,0,0,0,1,FALSE
2_106_4,0,0.19200821093237,0.0819044920295006,0.461696875977226,0.605202920968426,0.263954051983913,0.119793731851041,0.463867392627024,0.241850859597307,0,0.281494261774073,0.248647152843745,0.492700471699145,0,0.453604600075067,0,8,FALSE
2_114_7,0,0.0995161275872734,0.0889093481408621,0.266237300418275,0,0.0967004069692356,1,0.405417164695118,0,0.178796320083821,0.442222754761786,0.0431715861753702,0.090180730607019,0,0.630986316067638,0,4,FALSE
2_117_7,0,0.107962167439354,0.0884012011056839,0.371824168348219,0.027980321386191,0.05388066523392,0.929069803849697,0.385893975010072,0,0.208861385447935,0.514766767016511,0.0985313572483732,0.0809371056232082,0,0.568109835971895,0,4,FALSE
2_120_7,0,0.110846789042177,0.0883439979235537,0.359319351464624,0.0427434615346071,0.0461793960691818,0.887793910149032,0.498683837805632,0,0.187482476121729,0.691050568672209,0.157300749562829,0.0755893544968547,0,0.640248654371963,0,4,FALSE
2_123_7,0,0.111479361204261,0.0883367737351364,0.360506209365989,0.0423617716542277,0.0459014314026449,0.891515064700547,0.500389373607901,0,0.187879942374047,0.688925930588311,0.18229035374807,0.0762451653636506,0,0.63514105451661,0,4,FALSE
2_125_2,0,0.112915413464096,0.0879108254474327,0.0460783575900248,0.152312620643549,0.0521465411110584,0.842109240095747,0.117348494263201,0,0.241012535712171,0.147299142085793,0,0.0221169832234113,0,1,0,4,FALSE
2_126_7,0,0.115678414702225,0.0874925269283289,0.155588661168916,0.207910665178407,0.0910881562459076,0.880034063745037,0.587027406190601,0,0.251923189251309,0.738305983463989,0.142584938946289,0.089345847645635,0.0282314121028287,0,0,4,FALSE
2_135_1,0,0.124091080968062,0.086528065040821,0.198378462219083,0.349664347487433,0.112899871284349,0.849684079838072,0.42471459794184,0.132488502169294,0,0.891451007306551,0.307177593422504,0.224652994726225,0,0.275569542720966,0,4,FALSE
2_148_6,0,0.142974321128965,0.0849148214238352,0.322670727861381,0.207424796431258,0.15437470356432,0.503311398258614,0.501600827113656,0,0.311744164993615,0.698434305460677,0.219852688679191,0.145799207160241,0,0.738885761636952,0,4,FALSE
2_157_3,0,0.173514986845551,0.0826405188772099,0.323255487886869,0.15833597124012,0.239146707540855,0.469053189932952,0.375561629562896,0,0.436031796618578,0.991755916541246,0.553927183982414,0,0,0.740730441426937,0,4,FALSE
2_170_2,0,0.200073070549428,0.0801656289500637,0.261747165097464,0.649235789810589,0.147927267672746,0.166136971141788,0.402962952826766,0.86373278602365,0,0.754208955645101,0.549715937125567,0.447976432138544,0,0,0,9,TRUE
2_176_2,0,0.193249778529449,0.0804037766445429,0.271978177386433,0.585016766553698,0.141216355630917,0.234430856946985,0.394034779993729,0.918237326970842,0,0.875180859973999,0.45168380216007,0.18224852034395,0,0,0,9,FALSE
2_177_1,0,0.127511072447749,0.0859805704223752,0.247688936143221,0.265942659373405,0.142084827523787,0.567104868012853,0.562182468381526,0,0.29847070146181,0.17198219513332,0.039806969897507,0.240080908294066,0,0,0,8,FALSE
2_187_3,0,0.185808403243397,0.0823586077454636,0.394492294536276,0.170551536074239,0.20120039201428,0.344043824180157,0.356616205127303,0,0.455428921135688,1,0.559650312783545,0.00183765902476808,0,0.703493828066055,0,4,TRUE
2_190_1,0,0.181016814739021,0.0824521059295892,0.136637650380264,0.223222118833407,0.175953842319226,0.351689161192134,0.384219684093032,0,0.395844137962223,0,0.684190329850614,0.346969571855532,0,0.678934770588625,0,8,FALSE
2_191_2,0,0.113364318208823,0.0878162694246041,0.284499969786501,0.063595779448499,0.0344785410667287,0.898649321548134,0.473416568706268,0,0.270686635050343,0.845790140957055,0.157885415780352,0.0266461938278576,0,0.727569127351334,0,4,FALSE
3_146_8,0,0.257400571915019,0.0738108681093614,0.0705315009396806,0.741414157987182,0.198538252155751,0,0.0627793294190341,0,1,0.678358881147668,0.776390135755968,0.347590460830372,0,0.0939951262219242,0,6,FALSE
3_168_6,0,0.214275161807893,0.0760413431719582,0.216666523183972,0.471029415284269,0.25225887981698,0,0.588634217538891,0,0.747110085470715,0,0.364517228131043,0.31794225607925,0,0.340885614385385,0,8,FALSE
3_180_6,0,0.2230567227117,0.07546442175353,0.174598326335205,0.670257216686287,0.336477002253883,0,0.440181529199598,0,0.789298190526317,0.0968948136978999,0.359672656050566,0.509700350331333,0,0.0894050453266058,0,7,TRUE
3_183_1,0,0.188606604014647,0.0822899417252733,0.0669254673393725,0.358876756372368,0,0.264107332114034,0.571070686851624,0.159273139380119,0.461644976904757,0.898669190915196,0.328557936933077,0.0407849423878387,0,0,0,8,TRUE
3_196_9,0,0.220870018878832,0.0754783781266331,0.2038400626049,0.313433151541909,0.246818742080906,0,0.312268709168938,0,0.705511706756703,0.440403799107298,0.54137950175253,0.210015842862956,0,0.352109358964337,0,8,FALSE
3_199_10,0,0.209773372323555,0.0768253586350632,0.228719654139064,0.322862287748028,0.0980251065605625,0,0.66636056602759,0,0.692292670936364,0.498352387591908,0.445045742686138,0.285057710836138,0,0,0,8,FALSE
3_199_9,0,0.218383693675028,0.0756610839551079,0.263274649648942,0.334807171724962,0.267352500744865,0,0.531363604118282,0,0.743849138002449,0,0.464120510288226,0.181493522990349,0,0.396082201511676,0,8,FALSE
4_159_9,0,0.212365770068565,0.0762936383775798,1,0.760279840371114,0.697771412349938,0,1,0,0.66813145687761,0.406214884211881,0.508070992566735,0.377847223849093,0,0,0,1,FALSE
4_172_4,0,0.215600633764536,0.0759002602065718,0.929445525902179,0.823029932240343,0.557400423230659,0,0.610903721194774,0.271924339675027,0.471953159011005,0,0.904263790919908,1,0,0,0,1,FALSE
4_182_7,0,0.267374374196205,0.0737670172152564,0.526366965382618,0.999999999999992,0.999999999999997,0,0.0705993135791439,0,0.956800244533253,0.56652684071109,1,0.290268478073228,0,0,0,5,TRUE
4_194_7,0,0.267374374196205,0.0737670172152564,0.526366965382597,1,1,0,0.0705993135791519,0,0.956800244533268,0.56652684071107,1,0.290268478073238,0,0,0,5,FALSE
5_172_10,0,0.204010410558477,0.0770183355875397,0.529704672751012,0.401610092140409,0.454058565373331,0,0.720195210484283,0.216569734085384,0.531197498360172,0.362237804689316,0.532432804205542,0.633953531496943,0,0,0,1,FALSE
5_179_4,0,0.138913422344988,0.0854449194651219,0,0.265404647561265,0.0749673132000425,0.805964770369981,0.444281342590951,0,0.245281117815729,0.778993212923605,0.272269493019933,0.0778512175214217,1,0.301575480773897,0,3,TRUE
5_189_10,0,0.155546232322053,0.0829706377266566,0.0790236735899627,0.143452355111016,0.192678797402072,0.561109908201594,0.355089294841733,0,0.42584835053907,0.692939221717194,0.417603069971705,0.1742412367445,0,0.456287029884134,0,4,FALSE
5_195_1,0,0.201832518491197,0.0773765566581364,0.511311686133869,0.487140058968264,0.390165754746894,0,0.87481571697285,0,0.550243784661012,0,0.451488287654676,0.929982089326549,0,0.0544575392742911,0,1,TRUE
5_200_1,0,0.210746829342304,0.0764938683965254,0.527028267471783,0.296879126421369,0.538198115245056,0,0.653600938581388,0,0.66244154176877,0,0.497144620094936,0.667915944078572,0,0,0,1,FALSE
